idx,dl_name,효능군코드,효능군명,제조사,전문일반,병용금기_해당,병용금기_건수,병용금기_상대약,연령금기_해당,연령금기_건수,임부금기_해당,임부금기_건수,노인주의_해당,노인주의_건수,투여기간주의_해당,투여기간주의_건수,효능군중복_해당,효능군중복_건수,효능군중복_겹치는약,수유부주의_해당,수유부주의_건수
0,보령부스파정 5mg,01170,정신신경용제,보령제약(주),전문의약품,True,1,마오비정(셀레길린염산염)_(5mg/1정),False,0,False,0,False,0,False,0,True,1,,False,0
1,뮤테란캡슐 100mg,02220,진해거담제,한화제약(주),일반의약품,False,0,,False,0,False,0,False,0,False,0,True,1,,False,0
2,일양하이트린정 2mg,02590,기타의 비뇨생식기관 및 항문용약,일양약품(주),전문의약품,False,0,,True,1,True,1,False,0,False,0,True,1,,False,0
3,기넥신에프정(은행엽엑스)(수출용),02190,기타의 순환계용약,에스케이케미칼(주),일반의약품,False,0,,False,0,False,0,False,0,False,0,False,0,,False,0
4,무코스타정(레바미피드)(비매품),02320,소화성궤양용제,한국오츠카제약(주),전문의약품,False,0,,False,0,False,0,False,0,False,0,False,0,,False,0
5,알드린정,02340,제산제,일양약품(주),일반의약품,False,0,,False,0,False,0,False,0,False,0,False,0,,False,0
6,뉴로메드정(옥시라세탐),01190,기타의 중추신경용약,고려제약(주),전문의약품,False,0,,False,0,False,0,False,0,False,0,False,0,,False,0
7,에어탈정(아세클로페낙),01140,해열.진통.소염제,(주)대웅제약,전문의약품,False,0,,False,0,False,0,False,0,False,0,False,0,,False,0
8,리렉스펜정 300mg/PTP,01140,해열.진통.소염제,한미약품(주),일반의약품,False,0,,False,0,False,0,False,0,False,0,False,0,,False,0
9,아빌리파이정 10mg,01170,정신신경용제,한국오츠카제약(주),전문의약품,False,0,,False,0,True,1,True,1,False,0,False,0,,False,0
10,다보타민큐정 10mg/병,03160,혼합비타민제(비타민AD 혼합제제를 제외),(주)유한양행,일반의약품,False,0,,False,0,False,0,False,0,False,0,False,0,,False,0
11,써스펜8시간이알서방정 650mg,01140,해열.진통.소염제,한미약품(주),일반의약품,False,0,,True,1,False,0,False,0,False,0,True,1,,False,0
12,에빅사정(메만틴염산염)(비매품),01190,기타의 중추신경용약,한국룬드벡(주),전문의약품,False,0,,False,0,False,0,False,0,False,0,False,0,,False,0
13,리피토정 20mg,02180,동맥경화용제,한국화이자제약(주),전문의약품,True,103,"이트라정100밀리그램(이트라코나졸)_(0.1g/1정), 스포코라정(이트라코나졸고체분산체)_(0.253g/1정), 이트라코나정(이트라코나졸고체분산체)_(0.253g/1정), 알트라졸정(이트라코나졸고체분산체)_(0.253g/1정), 이트라코정(이트라코나졸)_(0.1g/1정), 이라코나정(이트라코나졸고체분산체)_(0.253g/1정), 사이폴-엔내복액(사이클로스포",False,0,True,1,False,0,False,0,True,1,,False,0
14,크레스토정 20mg,02180,동맥경화용제,한국아스트라제네카(주),전문의약품,True,17,"하보니정_(1정), 임프란타연질캡슐100밀리그램(사이클로스포린)_(0.1g/1캡슐), 사이폴-엔연질캡슐25밀리그램(사이클로스포린)(수출명:데나스포연질캡슐25밀리그램)_(25mg/1캡슐), 사이크린연질캡슐50밀리그램(사이클로스포린)_(50mg/1캡슐), 산디문뉴오랄내복액(사이클로스포린)_(5g/50mL), 사이크린연질캡슐25밀리그램(사이클로스포린)_(25mg",False,0,True,1,False,0,False,0,True,1,,False,0
15,가바토파정 100mg,01130,항전간제,동아에스티(주),전문의약품,False,0,,False,0,False,0,False,0,False,0,False,0,,False,0
16,동아가바펜틴정 800mg,01130,항전간제,동아에스티(주),전문의약품,False,0,,False,0,True,1,False,0,False,0,False,0,,False,0
17,오마코연질캡슐(오메가-3-산에틸에스테르90),02180,동맥경화용제,건일제약(주),전문의약품,False,0,,False,0,False,0,False,0,False,0,False,0,,False,0
18,리리카캡슐 150mg,01190,기타의 중추신경용약,한국화이자제약(주),전문의약품,False,0,,False,0,True,1,False,0,False,0,False,0,,False,0
19,종근당글리아티린연질캡슐(콜린알포세레이트) ,01190,기타의 중추신경용약,(주)종근당,전문의약품,False,0,,False,0,False,0,False,0,False,0,False,0,,False,0
20,콜리네이트연질캡슐 400mg,01190,기타의 중추신경용약,한미약품(주),전문의약품,False,0,,False,0,False,0,False,0,False,0,False,0,,False,0
21,트루비타정 60mg/병,03160,혼합비타민제(비타민AD 혼합제제를 제외),(주)유한양행,일반의약품,False,0,,False,0,False,0,False,0,False,0,False,0,,False,0
22,스토가정 10mg,02320,소화성궤양용제,보령제약(주),전문의약품,False,0,,False,0,True,1,False,0,False,0,True,1,,False,0
23,노바스크정 5mg,02140,혈압강하제,한국화이자제약(주),전문의약품,False,0,,False,0,True,1,False,0,False,0,True,1,,False,0
24,마도파정,01190,기타의 중추신경용약,(주)한국로슈,전문의약품,False,0,,False,0,False,0,False,0,False,0,False,0,,False,0
25,플라빅스정 75mg,02180,동맥경화용제,(주)한독,전문의약품,False,0,,False,0,False,0,False,0,False,0,False,0,,False,0
26,엑스포지정 5/160mg,02140,혈압강하제,한국노바티스(주),전문의약품,False,0,,False,0,True,1,False,0,False,0,True,2,,False,0
